4 1 |1 | 06 | 06 | 1
3 d |1 | 11 | 11 | 1
5 2 |1 | 08 | 08 | 1
d 6 |1 | 14 | 14 | 1
d c |1 | 1a | 1a | 1
6 5 |0 | 0b | 0b | 1
5 7 |0 | 0c | 0c | 1
f 2 |0 | 11 | 11 | 1
8 5 |0 | 0d | 0d | 1
d d |1 | 1b | 1b | 1
3 a |0 | 0d | 0d | 1
0 a |1 | 0b | 0b | 1
6 3 |1 | 0a | 0a | 1
3 b |1 | 0f | 0f | 1
2 e |1 | 11 | 11 | 1
f 3 |0 | 12 | 12 | 1
a c |0 | 16 | 16 | 1
a 1 |0 | 0b | 0b | 1
8 9 |1 | 12 | 12 | 1
6 6 |0 | 0c | 0c | 1
c a |1 | 17 | 17 | 1
1 5 |1 | 07 | 07 | 1
b a |0 | 15 | 15 | 1
5 1 |1 | 07 | 07 | 1
2 c |1 | 0f | 0f | 1
f 8 |1 | 18 | 18 | 1
f c |1 | 1c | 1c | 1
9 9 |0 | 12 | 12 | 1
7 1 |0 | 08 | 08 | 1
c 2 |0 | 0e | 0e | 1
7 d |0 | 14 | 14 | 1
e d |1 | 1c | 1c | 1
f 3 |1 | 13 | 13 | 1
8 b |1 | 14 | 14 | 1
f a |0 | 19 | 19 | 1
6 e |0 | 14 | 14 | 1
a 6 |1 | 11 | 11 | 1
3 f |1 | 13 | 13 | 1
f 4 |1 | 14 | 14 | 1
b 6 |0 | 11 | 11 | 1
9 d |0 | 16 | 16 | 1
5 5 |1 | 0b | 0b | 1
9 4 |0 | 0d | 0d | 1
a b |0 | 15 | 15 | 1
c a |1 | 17 | 17 | 1
3 6 |0 | 09 | 09 | 1
7 a |0 | 11 | 11 | 1
8 9 |0 | 11 | 11 | 1
4 3 |0 | 07 | 07 | 1
9 b |1 | 15 | 15 | 1
9 d |0 | 16 | 16 | 1
a 6 |1 | 11 | 11 | 1
6 4 |1 | 0b | 0b | 1
9 4 |0 | 0d | 0d | 1
8 d |1 | 16 | 16 | 1
e 8 |0 | 16 | 16 | 1
d 9 |0 | 16 | 16 | 1
6 a |1 | 11 | 11 | 1
6 0 |1 | 07 | 07 | 1
a e |0 | 18 | 18 | 1
5 a |1 | 10 | 10 | 1
7 6 |0 | 0d | 0d | 1
6 6 |1 | 0d | 0d | 1
c 6 |0 | 12 | 12 | 1
e b |1 | 1a | 1a | 1
9 a |1 | 14 | 14 | 1
7 1 |0 | 08 | 08 | 1
0 5 |1 | 06 | 06 | 1
9 1 |1 | 0b | 0b | 1
8 b |1 | 14 | 14 | 1
c a |0 | 16 | 16 | 1
8 9 |1 | 12 | 12 | 1
e 6 |1 | 15 | 15 | 1
a a |1 | 15 | 15 | 1
e 8 |1 | 17 | 17 | 1
8 a |1 | 13 | 13 | 1
b 7 |0 | 12 | 12 | 1
a 4 |1 | 0f | 0f | 1
2 4 |1 | 07 | 07 | 1
6 a |0 | 10 | 10 | 1
2 d |0 | 0f | 0f | 1
4 a |1 | 0f | 0f | 1
1 e |1 | 10 | 10 | 1
b f |1 | 1b | 1b | 1
6 5 |1 | 0c | 0c | 1
b 8 |0 | 13 | 13 | 1
b 2 |0 | 0d | 0d | 1
d b |0 | 18 | 18 | 1
e d |0 | 1b | 1b | 1
8 1 |0 | 09 | 09 | 1
1 b |0 | 0c | 0c | 1
3 6 |1 | 0a | 0a | 1
2 4 |1 | 07 | 07 | 1
8 2 |0 | 0a | 0a | 1
9 5 |1 | 0f | 0f | 1
b 1 |0 | 0c | 0c | 1
7 1 |1 | 09 | 09 | 1
4 8 |0 | 0c | 0c | 1
4 2 |0 | 06 | 06 | 1
1 5 |1 | 07 | 07 | 1
b 5 |1 | 11 | 11 | 1
7 4 |1 | 0c | 0c | 1
7 9 |1 | 11 | 11 | 1
b 9 |1 | 15 | 15 | 1
1 a |0 | 0b | 0b | 1
5 3 |0 | 08 | 08 | 1
2 e |0 | 10 | 10 | 1
f 6 |0 | 15 | 15 | 1
8 0 |0 | 08 | 08 | 1
6 5 |0 | 0b | 0b | 1
4 9 |0 | 0d | 0d | 1
c a |0 | 16 | 16 | 1
5 1 |1 | 07 | 07 | 1
3 9 |0 | 0c | 0c | 1
5 1 |1 | 07 | 07 | 1
a 7 |0 | 11 | 11 | 1
c 1 |1 | 0e | 0e | 1
6 7 |0 | 0d | 0d | 1
c 5 |0 | 11 | 11 | 1
0 2 |0 | 02 | 02 | 1
d d |1 | 1b | 1b | 1
9 e |1 | 18 | 18 | 1
b f |1 | 1b | 1b | 1
3 d |1 | 11 | 11 | 1
4 5 |0 | 09 | 09 | 1
d 2 |0 | 0f | 0f | 1
d 2 |0 | 0f | 0f | 1
6 c |0 | 12 | 12 | 1
7 a |0 | 11 | 11 | 1
a c |0 | 16 | 16 | 1
a b |0 | 15 | 15 | 1
5 2 |0 | 07 | 07 | 1
9 4 |1 | 0e | 0e | 1
b c |1 | 18 | 18 | 1
6 9 |0 | 0f | 0f | 1
0 c |0 | 0c | 0c | 1
7 a |1 | 12 | 12 | 1
8 b |1 | 14 | 14 | 1
c 3 |0 | 0f | 0f | 1
9 9 |1 | 13 | 13 | 1
4 7 |1 | 0c | 0c | 1
0 2 |1 | 03 | 03 | 1
9 0 |0 | 09 | 09 | 1
3 3 |0 | 06 | 06 | 1
8 d |0 | 15 | 15 | 1
4 b |1 | 10 | 10 | 1
2 2 |1 | 05 | 05 | 1
0 e |1 | 0f | 0f | 1
b 6 |1 | 12 | 12 | 1
0 f |1 | 10 | 10 | 1
